id;lab_name;street_address;city;state;zip;country;lab_contact_email;lab_contact_name;lab_contact_phone_number
1;Awesome;USB alarm 1080p;Mittiechester;parsing Triple-buffered;deposit Rand Namibia Dollar;Australia;"";Mississippi Product;Metal
2;complexity Direct Administrator;online program Refined Granite Gloves;Rhodafurt;payment;Organic Granite;Barbados;"";Kansas;Maldives bluetooth policy
3;Timor-Leste e-commerce;Inverse Health JBOD;North Seamusville;matrix Data;Supervisor;Guam;"Q@R@VfL9cRtRQdve%D8z|1E4gz5k^";Sleek Granite Tuna Utah;Coordinator
4;Practical killer Russian Federation;Adaptive Practical B2C;Lake Elenor;Persevering Gorgeous Steel Salad Associate;Fantastic whiteboard;British Indian Ocean Territory (Chagos Archipelago);"";open-source Generic methodologies;XSS Investment Account Investor
5;Fish Associate Intuitive;quantifying Phased connecting;East Alysaville;green lavender;copying primary invoice;Croatia;"";syndicate;Buckinghamshire Liaison Forward
6;Pre-emptive Reduced;Kids Customer;Boscoview;incentivize bi-directional Tunnel;Configuration;Switzerland;"";Infrastructure bandwidth;ROI
7;Computers Saint Helena Pound;Borders;Port Dakotaland;Senior Facilitator Sleek Fresh Shoes;Virginia generating;Guadeloupe;"";circuit;optical deposit
8;Pizza Fish next-generation;UIC-Franc;Benjaminstad;override Salad XSS;Burg SAS Music;Somalia;"x|@J969,gd?}25d~Ey+%vf"o{k(EHe:1LB(|a+83/@Ul?WFOpF)yjR#|LU)w0(bpiWY,8!d:7Yt^5h4WPsH,E>(/";connecting;generate Adaptive black
9;Money Market Account;New York Concrete expedite;South Rebekamouth;Gorgeous;Beauty web services copying;Hong Kong;"/J_&E_g5C! H6,^(68h)sk<|a:U}UX*c&l9?"m{t!.FjLVq_nNk,F@u^)q{U~8H*&;5z#dkQr@u;3Hd#a|c`RUaI6d=qIh(>XC Q}Hd}gL*<oJsXX>./m,,Dk5}n|wd|*<F'D)Z\nrL\?cz^##H'vv";Directives Baht Tasty Plastic Keyboard;bypass hard drive Hollow
10;Checking Account;SCSI;Wizafurt;Shoals deposit Auto Loan Account;Movies Sports;Germany;"";Grocery Ball Wells;partnerships Terrace Hat
