id;description;objective;end_point_type;study_id
1;yellow;Books Generic;robust withdrawal generate;1
2;Garden open-source hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;2
3;schemas Specialist China;quantify multi-byte;interface Cotton Robust;3
4;user-centric Infrastructure;Managed Dobra application;Fantastic;4
5;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;5
6;time-frame Quality;Borders Borders Practical;methodical;6
7;Pakistan;parse;neural Wooden Optimization;7
8;Tasty Rubber Car mindshare EXE;bandwidth Liaison;program Auto Loan Account Refined;8
9;infomediaries;Fantastic Fresh Salad;Steel Avon Visionary;9
10;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek;10
