id;mile_stone_name;mile_stone_type;projected_completion_date;actual_completion_date;study_id
1;value-added Savings Account;Connecticut Avon Money Market Account;2019-12-17;2019-12-17;1
2;Personal Loan Account Awesome International;Lead alarm Cheese;2019-12-17;2019-12-17;2
3;Practical Steel Fish Unbranded;Chief Coves Concrete;2019-12-16;2019-12-17;3
4;yellow programming strategy;Czech Republic;2019-12-17;2019-12-17;4
5;streamline navigate;neural;2019-12-17;2019-12-17;5
6;Cotton relationships;Chief web-enabled interactive;2019-12-17;2019-12-16;6
7;Idaho Grocery;Concrete Towels Avon;2019-12-17;2019-12-17;7
8;frame multi-byte modular;Electronics;2019-12-17;2019-12-17;8
9;Strategist;Towels applications;2019-12-17;2019-12-17;9
10;Hat matrices application;index indigo;2019-12-17;2019-12-17;10
