id;study_identifier;phase;status;sequence;study_year;name;design;number_of_cohorts;intended_subjects_per_cohort;population_disease_state;minimum_age;maximum_age;subjects_enrolled;females_eligible;males_eligible;study_short_name;project_manager;principal_physician;research_representative;analysis_representative;data_manager
1;mobile Fish;Home Loan Account Table Computer;Trace;33370;60869;alarm;Tasty Metal Bacon;93855;21233;Chips;18340;61748;30424;true;true;web-readiness;Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD
2;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;12203;61740;backing up Salad;Digitized invoice;31171;42515;sky blue Georgia;3131;96958;84228;true;false;e-enable Communications capacitor;Awesome;Aruba;software scale interactive;Louisiana Specialist Home Loan Account;Plastic
3;Car Industrial deliverables;orange Books;magenta monitor 1080p;60595;9163;world-class Frozen IB;Highway Ergonomic;37081;31098;moratorium pixel withdrawal;88721;56124;47221;false;false;bus synthesize Idaho;Networked Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account
4;Salad Web virtual;Refined Squares;maroon;89255;88549;projection Fresh;support Gorgeous;22793;64769;Jewelery cutting-edge;30478;695;16465;true;true;Bedfordshire Bahamian Dollar;24/7;Gloves sky blue Oklahoma;robust Engineer;Exclusive Moroccan Dirham card;zero tolerance
5;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;53093;49915;Designer Persistent;Handmade 24/7 Re-contextualized;80313;36778;invoice withdrawal;53577;81643;9028;true;true;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking
6;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;9310;96607;Virginia THX pink;cross-media;72595;84666;SCSI drive THX;85092;8413;93563;false;true;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked;Fish;payment calculating
7;local area network Benin;turn-key dedicated;Wisconsin;97889;40462;Human withdrawal;dot-com payment Libyan Dinar;86416;19524;sensor;28077;57200;2431;true;true;Chips;Villages uniform PCI;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh
8;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;87737;33542;calculating Metal array;discrete redundant;81011;25620;Personal Loan Account Sleek Beauty;62789;79829;19427;true;false;extend Unbranded Fresh Pants Tools;Practical North Dakota;implementation;Wallis and Futuna;generating;Computers Small Fresh Gloves back-end
9;interface;compress lavender Investment Account;backing up;19438;54025;Peru deposit;Frozen Analyst card;4106;79518;global mindshare;7845;25086;2535;false;true;navigating;Som Rustic Frozen Keyboard ROI;Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants
10;hack;leading-edge;Ergonomic Steel Gloves;85546;97989;Shoes Music connect;Hollow Shoes systems;39850;4805;Web HTTP;26089;37461;1530;true;true;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;incubate deposit Station;parsing Investment Account;Branding Dynamic black
