id;product_name;dose_range;days_of_exposure;formulation;study_id
1;Expressway;Tools Street;56484;Gorgeous Soft Fish Mountain;1
2;Japan Knoll;Rhode Island Computer;18192;SDD Mobility;2
3;didactic Dynamic;schemas Industrial;15615;bus withdrawal Toys;3
4;Enterprise-wide;Moldovan Leu;1971;Incredible multi-byte;4
5;THX;Re-contextualized Licensed;24317;pixel SAS parsing;5
6;Branding Concrete;eco-centric Senior;1300;Handmade fuchsia;6
7;Wooden;North Carolina infomediaries Chief;81744;frictionless solution-oriented;7
8;distributed Computers;Money Market Account users Guinea;43612;context-sensitive Metrics transmit;8
9;Fresh;Cambridgeshire Central;79985;supply-chains;9
10;Bedfordshire;Peru withdrawal Down-sized;13935;navigating Liaison;10
